transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_amount,gross_sales,net_sales,unit_cost,cost_amount,profit_amount,gross_margin_pct,payment_method,sales_channel,category,source_row_id,unit_price_raw,customer_id_raw,product_id_raw,store_id_raw
T000002,2025-04-28,C03663,P0169,S016,3,3819.65,0.0,11458.95,11458.95,2970.08,8910.24,2548.71,22.24,Card,Store,Home Appliances,2,3819.65,C03663,P0169,S016
T000003,2025-10-27,C04603,P0442,S017,6,2748.89,0.0,16493.34,16493.34,2430.47,14582.82,1910.52,11.58,Cash,Store,Fashion,3,2748.89,C04603,P0442,S017
T000004,2025-03-31,C04661,P0173,S013,7,3621.28,1267.45,25348.96,24081.51,2816.25,19713.75,4367.76,18.14,Card,E-commerce,Home & Living,4,3621.28,C04661,P0173,S013
T000005,2025-04-20,C02348,P0442,S009,2,2977.87,297.79,5955.74,5657.95,2430.47,4860.94,797.01,14.09,Mada,Store,Fashion,5,2977.87,C02348,P0442,S009
T000006,2024-07-28,C03271,P0447,S014,2,191.43,0.0,382.86,382.86,133.31,266.62,116.24,30.36,Card,Store,Home Appliances,6,191.43,C03271,P0447,S014
T000007,2025-06-08,C00629,P0235,S009,4,3915.98,1566.39,15663.92,14097.53,2748.23,10992.92,3104.61,22.02,Cash,E-commerce,Fashion,7,3915.98,C00629,P0235,S009
T000008,2025-11-06,C03652,P0199,S003,2,1489.85,297.97,2979.7,2681.73,1018.89,2037.78,643.95,24.01,Card,Store,Sports,8,1489.85,C03652,P0199,S003
T000009,2025-07-29,C00361,P0053,S003,2,2791.91,279.19,5583.82,5304.63,2172.91,4345.82,958.81,18.07,Cash,E-commerce,Electronics,9,2791.91,C00361,P0053,S003
T000010,2024-11-02,C03986,P0323,S017,2,415.93,0.0,831.86,831.86,258.74,517.48,314.38,37.79,Apple Pay,Store,Home & Living,10,415.93,C03986,P0323,S017
T000011,2024-03-16,C04247,P0333,S002,3,2425.52,0.0,7276.56,7276.56,1744.45,5233.35,2043.21,28.08,Mada,E-commerce,Grocery,11,2425.52,C04247,P0333,S002
T000012,2024-01-22,C01782,P0356,S015,1,2797.65,279.77,2797.65,2517.88,2197.87,2197.87,320.01,12.71,Mada,Store,Grocery,12,2797.65,C01782,P0356,S015
T000013,2024-02-29,C04289,P0244,S016,3,2913.9,0.0,8741.7,8741.7,2077.87,6233.61,2508.09,28.69,Cash,Store,Grocery,13,2913.9,C04289,P0244,S016
T000014,2025-01-20,C03797,P0306,S018,4,366.43,0.0,1465.72,1465.72,291.67,1166.68,299.04,20.4,Mada,Store,Sports,14,366.43,C03797,P0306,S018
T000015,2024-02-25,C03988,P0387,S019,4,2142.36,1713.89,8569.44,6855.55,1678.78,6715.12,140.43,2.05,Card,Store,Fashion,15,2142.36,C03988,P0387,S019
T000016,2024-06-16,C03454,P0453,S003,2,1129.06,0.0,2258.12,2258.12,698.97,1397.94,860.18,38.09,Card,Store,Grocery,16,1129.06,C03454,P0453,S003
T000017,2025-02-15,C04695,P0295,S001,1,4509.48,0.0,4509.48,4509.48,2921.0,2921.0,1588.48,35.23,Card,E-commerce,Grocery,17,4509.48,C04695,P0295,S001
T000018,2025-12-17,C04344,P0241,S017,5,1607.46,0.0,8037.3,8037.3,1389.85,6949.25,1088.05,13.54,Card,Store,Beauty,18,1607.46,C04344,P0241,S017
T000019,2024-07-09,C03868,P0319,S012,3,861.21,387.54,2583.63,2196.09,618.56,1855.68,340.41,15.5,Mada,Store,Electronics,19,861.21,C03868,P0319,S012
T000020,2025-04-26,C03867,P0376,S006,2,1128.83,112.88,2257.66,2144.78,745.58,1491.16,653.62,30.47,Card,Store,Home & Living,20,1128.83,C03867,P0376,S006
T000021,2025-07-20,C02181,P0318,S007,4,335.5,201.3,1342.0,1140.7,254.16,1016.64,124.06,10.88,STC Pay,E-commerce,Beauty,21,335.5,C02181,P0318,S007
T000022,2025-02-19,C02996,P0394,S017,1,1577.15,0.0,1577.15,1577.15,1224.87,1224.87,352.28,22.34,Cash,Store,Home Appliances,22,1577.15,C02996,P0394,S017
T000023,2024-12-05,C00714,P0226,S008,3,4046.61,0.0,12139.83,12139.83,2508.09,7524.27,4615.56,38.02,Mada,Store,Fashion,23,4046.61,C00714,P0226,S008
T000024,2024-09-15,C03941,P0412,S008,4,1402.34,280.47,5609.36,5328.89,853.52,3414.08,1914.81,35.93,Cash,E-commerce,Beauty,24,1402.34,C03941,P0412,S008
