transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_amount,gross_sales,net_sales,unit_cost,cost_amount,profit_amount,gross_margin_pct,payment_method,sales_channel,category,source_row_id,unit_price_raw,customer_id_raw,product_id_raw,store_id_raw,review_reason
T000116,2025-01-12 00:00:00.000000,C04209,P0241,S017,3,1603.57,962.14,4810.71,3848.57,1389.85,4169.55,-320.98,-8.34,Mada,Store,Beauty,116,,,,,Manual/source-system review required
T000202,2024-05-21 00:00:00.000000,C04453,P0052,S003,3,2884.67,0.0,8654.01,8654.01,1942.41,5827.23,2826.78,32.66,Card,E-commerce,Electronics,202,,,,,Manual/source-system review required
T000328,2025-08-16 00:00:00.000000,C01576,P0134,S002,3,2806.55,841.96,8419.65,7577.69,1917.2,5751.6,1826.09,24.1,Mada,Store,Home Appliances,328,,,,,Manual/source-system review required
T000506,2024-01-24 00:00:00.000000,C00927,P0243,S013,2,1416.09,0.0,2832.18,2832.18,957.5,1915.0,917.18,32.38,STC Pay,Store,Electronics,506,,,,,Manual/source-system review required
T000544,2025-11-03 00:00:00.000000,C01525,P0006,S018,1,2071.3,414.26,2071.3,1657.04,1711.75,1711.75,-54.71,-3.3,STC Pay,E-commerce,Home Appliances,544,,,,,Manual/source-system review required
T000675,2025-01-06 00:00:00.000000,C00264,P0429,S013,3,838.92,0.0,2516.76,2516.76,702.11,2106.33,410.43,16.31,Apple Pay,Store,Electronics,675,,,,,Manual/source-system review required
T000714,2025-10-01 00:00:00.000000,C02794,P0408,S010,3,1174.8,0.0,3524.4,3524.4,786.0,2358.0,1166.4,33.09,Card,Store,Home & Living,714,,,,,Manual/source-system review required
T000887,2024-02-06 00:00:00.000000,C00414,P0269,S006,4,197.36,78.94,789.44,710.5,129.46,517.84,192.66,27.12,Cash,E-commerce,Electronics,887,,,,,Manual/source-system review required
T001200,2024-07-09 00:00:00.000000,C01163,P0266,S001,4,4206.82,0.0,16827.28,16827.28,2713.1,10852.4,5974.88,35.51,Apple Pay,Store,Sports,1200,,,,,Manual/source-system review required
T001257,2024-12-25 00:00:00.000000,C02814,P0079,S019,1,254.18,0.0,254.18,254.18,163.22,163.22,90.96,35.79,Mada,Store,Electronics,1257,,,,,Manual/source-system review required
